epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.12779,2.05421,5.43652,1.75813,0.00651,0.07384,0.01401,0.00928,1.62504,5.29305,1.3973,4.046e-05,4.046e-05,4.046e-05
2,11.8728,1.51307,3.44051,1.4185,0.77985,0.08429,0.09029,0.07531,1.1767,3.3965,1.26604,8.30251e-05,8.30251e-05,8.30251e-05
3,16.1785,1.30661,2.52977,1.28887,0.62912,0.23407,0.18107,0.14193,1.0374,2.02777,1.19779,0.000125307,0.000125307,0.000125307
4,20.4067,1.15668,1.9804,1.20796,0.71625,0.28434,0.29963,0.22172,0.95418,1.65324,1.14267,0.000167307,0.000167307,0.000167307
5,24.5599,1.05669,1.64853,1.13008,0.82371,0.29617,0.35105,0.2551,0.87062,1.32968,1.07036,0.000209024,0.000209024,0.000209024
6,28.9588,0.95774,1.41271,1.07818,0.49916,0.36475,0.35479,0.24828,0.88654,1.32304,1.09015,0.000234073,0.000234073,0.000234073
7,33.2042,1.00871,1.44456,1.10867,0.66562,0.35761,0.38965,0.28252,0.82945,1.22125,1.04323,0.000233288,0.000233288,0.000233288
8,37.3559,0.96154,1.3175,1.07947,0.71971,0.36906,0.41319,0.29669,0.81101,1.11948,1.03665,0.000232502,0.000232502,0.000232502
9,41.3674,0.93857,1.21759,1.07193,0.70555,0.37038,0.43057,0.31189,0.8778,1.02939,1.04383,0.000231717,0.000231717,0.000231717
10,45.4049,0.89696,1.11992,1.05072,0.48522,0.48004,0.47245,0.34324,0.81679,0.96594,1.03109,0.000230931,0.000230931,0.000230931
11,49.428,0.8697,1.0392,1.03068,0.60397,0.4591,0.48806,0.34095,0.80331,0.93383,1.04146,0.000230146,0.000230146,0.000230146
12,53.513,0.86258,0.99673,1.03329,0.64216,0.49869,0.52804,0.36556,0.79633,0.90568,1.02879,0.000229361,0.000229361,0.000229361
13,57.7048,0.83251,0.93869,1.02226,0.67369,0.47711,0.53331,0.3647,0.80024,0.87733,1.03249,0.000228575,0.000228575,0.000228575
14,61.7126,0.79162,0.88959,0.98989,0.61738,0.50386,0.51536,0.35792,0.80009,0.93498,1.02848,0.00022779,0.00022779,0.00022779
15,65.6668,0.83223,0.92088,1.03032,0.72028,0.49876,0.52643,0.35624,0.82902,0.89653,1.03423,0.000227004,0.000227004,0.000227004
16,69.7728,0.81308,0.87713,1.00564,0.67137,0.5071,0.54611,0.37275,0.79544,0.85716,1.03766,0.000226219,0.000226219,0.000226219
17,73.9961,0.80753,0.84043,0.996,0.61104,0.5371,0.54669,0.37411,0.80068,0.79623,1.02209,0.000225434,0.000225434,0.000225434
18,78.106,0.77773,0.79824,0.99478,0.69289,0.49005,0.58597,0.38584,0.76985,0.81774,1.02331,0.000224648,0.000224648,0.000224648
19,82.1941,0.78312,0.81308,0.99912,0.71164,0.51359,0.57946,0.39009,0.76513,0.80095,1.01664,0.000223863,0.000223863,0.000223863
20,86.4994,0.7699,0.79168,0.98808,0.73043,0.48284,0.56912,0.38221,0.7948,0.90199,1.04198,0.000223077,0.000223077,0.000223077
21,90.7126,0.78193,0.79592,0.98211,0.75565,0.48734,0.5625,0.37877,0.78591,0.78441,1.03544,0.000222292,0.000222292,0.000222292
22,94.9884,0.74928,0.73433,0.97303,0.67395,0.52946,0.58411,0.38899,0.81475,0.80411,1.03471,0.000221507,0.000221507,0.000221507
